Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,446.000000,453.500000,443.000000,453.000000,443.656769,14885824
2023-01-04,449.500000,455.000000,448.500000,449.500000,440.228943,19188422
2023-01-05,459.000000,459.500000,455.000000,458.500000,449.043304,23549581
2023-01-06,455.000000,459.500000,455.000000,458.500000,449.043304,20886011
2023-01-09,468.000000,481.000000,467.500000,481.000000,471.079254,46666263
2023-01-10,486.000000,487.000000,483.000000,486.000000,475.976105,32646014
2023-01-11,487.000000,488.000000,482.000000,484.500000,474.507080,21051115
2023-01-12,487.500000,488.000000,484.000000,486.500000,476.465820,20963689
2023-01-13,507.000000,509.000000,499.000000,500.000000,489.687347,77606949
2023-01-16,506.000000,508.000000,503.000000,505.000000,494.584259,34373918
2023-01-17,504.000000,504.000000,499.500000,503.000000,492.625488,27770329
2023-01-30,542.000000,543.000000,534.000000,543.000000,531.800537,124428936
2023-01-31,537.000000,538.000000,521.000000,522.000000,511.233612,72530854
2023-02-01,532.000000,533.000000,522.000000,530.000000,519.068665,33710990
2023-02-02,538.000000,542.000000,537.000000,540.000000,528.862366,43077053
2023-02-03,540.000000,542.000000,536.000000,542.000000,530.821045,31635865
2023-02-06,532.000000,533.000000,526.000000,526.000000,515.151123,30870136
2023-02-07,524.000000,528.000000,522.000000,523.000000,512.213013,23481767
2023-02-08,538.000000,540.000000,534.000000,540.000000,528.862366,35096191
2023-02-09,540.000000,540.000000,536.000000,540.000000,528.862366,18861972
2023-02-10,544.000000,546.000000,541.000000,545.000000,533.759216,28495684
2023-02-13,544.000000,544.000000,538.000000,541.000000,529.841675,22768977
2023-02-14,544.000000,546.000000,543.000000,545.000000,533.759216,21883297
2023-02-15,526.000000,532.000000,522.000000,525.000000,514.171753,61796793
2023-02-16,528.000000,531.000000,524.000000,528.000000,517.109802,29975138
2023-02-17,524.000000,524.000000,516.000000,518.000000,507.316162,28121975
2023-02-20,514.000000,519.000000,511.000000,517.000000,506.336761,20065156
2023-02-21,515.000000,517.000000,513.000000,516.000000,505.357391,13504100
2023-02-22,506.000000,509.000000,505.000000,507.000000,496.543030,24575245
2023-02-23,512.000000,521.000000,510.000000,518.000000,507.316162,25376835
2023-02-24,524.000000,525.000000,511.000000,511.000000,500.460480,41692491
2023-03-01,504.000000,522.000000,504.000000,522.000000,511.233612,39560848
2023-03-02,519.000000,520.000000,515.000000,519.000000,508.295471,16558784
2023-03-03,524.000000,525.000000,516.000000,516.000000,505.357391,23253895
2023-03-06,520.000000,524.000000,517.000000,521.000000,510.254211,21922085
2023-03-07,521.000000,526.000000,519.000000,524.000000,513.192322,24861078
2023-03-08,521.000000,523.000000,518.000000,521.000000,510.254211,24512408
2023-03-09,525.000000,526.000000,522.000000,522.000000,511.233612,21557577
2023-03-10,515.000000,516.000000,511.000000,513.000000,502.419220,24045605
2023-03-13,513.000000,518.000000,509.000000,516.000000,505.357391,21466947
2023-03-14,511.000000,514.000000,510.000000,510.000000,499.481110,20474770
2023-03-15,515.000000,516.000000,510.000000,511.000000,500.460480,23208597
2023-03-16,505.000000,510.000000,504.000000,505.000000,497.260132,21965994
2023-03-17,516.000000,518.000000,513.000000,518.000000,510.060883,33118483
2023-03-20,517.000000,518.000000,510.000000,512.000000,504.152832,11837312
2023-03-21,515.000000,517.000000,512.000000,517.000000,509.076202,18284799
2023-03-22,524.000000,533.000000,524.000000,533.000000,524.830994,42385987
2023-03-23,528.000000,539.000000,528.000000,538.000000,529.754333,26728246
2023-03-24,536.000000,539.000000,535.000000,539.000000,530.739014,21926240
2023-03-27,533.000000,536.000000,531.000000,531.000000,522.861633,16111177
